College, Total05, percentCauc05, Total10, percentCauc10, Total15, percentCauc15
KL, 2729.0, 79.03994137046537, 2867.0, 70.17788629229159, 3265.0, 60.36753445635529
KM, 3760.0, 58.56382978723404, 3886.0, 51.363870303654146, 4266.0, 42.07688701359588
KN, 1515.0, 63.4983498349835, 1393.0, 63.38837042354631, 1195.0, 58.577405857740594
KP, 7439.0, 55.97526549267374, 8620.0, 47.58700696055684, 10732.0, 36.26537458069326
KR, 2770.0, 71.73285198555956, 2639.0, 64.304660856385, 2321.0, 50.75398535114175
KS, 4.0, 50.0, 14.0, 50.0, 76.0, 63.157894736842096
KT, 673.0, 68.35066864784547, 1077.0, 62.302692664809655, 1104.0, 57.2463768115942
KU, 668.0, 54.790419161676645, 735.0, 58.36734693877551, 580.0, 44.48275862068966
KV, 17582.0, 61.40939597315436, 14097.0, 55.94098035042917, 14032.0, 43.42930444697834
KW,,,2927.0, 60.027331738981886, 2790.0, 44.336917562724025
KY, 1872.0, 72.38247863247864, 2077.0, 68.56042368801155, 2181.0, 58.04676753782668
LC, 473.0, 69.13319238900635, 544.0, 81.43382352941177, 567.0, 74.4268077601411
LE, 262.0, 85.11450381679391, 156.0, 73.07692307692307,,
LG, 282.0, 58.15602836879432, 178.0, 41.01123595505618, 186.0, 33.33333333333333
LL, 289.0, 71.62629757785467, 307.0, 71.66123778501628, 468.0, 60.256410256410255
LN, 86.0, 66.27906976744185, 101.0, 72.27722772277228, 52.0, 73.07692307692307
LP, 247.0, 72.46963562753038, 329.0, 71.73252279635258, 271.0, 71.21771217712177
NB,,,2.0, 50.0, 1.0, 0.0
